qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,source_transcriptome_file
Chlorica_TRINITY_DN43328_c0_g1::TRINITY_DN43328_c0_g1_i1::g.17309::m.17309,XM_004483219.2,29.091,165,111,3,1,160,106,269,7.65e-17,65.9,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN45902_c0_g1::TRINITY_DN45902_c0_g1_i1::g.20716::m.20716,XM_004452792.2,33.333,93,55,1,1,86,189,281,2.13e-14,56.2,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN46561_c0_g1::TRINITY_DN46561_c0_g1_i1::g.16685::m.16685,XM_004483219.2,30.097,103,67,2,12,111,76,176,4.91e-12,50.1,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN50669_c0_g1::TRINITY_DN50669_c0_g1_i1::g.14536::m.14536,XM_004477246.3,34.568,81,49,2,47,125,37,115,4.24e-07,36.2,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN53154_c0_g1::TRINITY_DN53154_c0_g1_i1::g.17729::m.17729,XM_004477246.3,20.779,77,56,2,56,132,196,267,1.47e-06,35.0,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN63368_c0_g1::TRINITY_DN63368_c0_g1_i1::g.6337::m.6337,XM_004477246.3,30.137,73,49,2,30,102,240,310,6.4e-08,37.7,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN64540_c0_g1::TRINITY_DN64540_c0_g1_i1::g.14925::m.14925,XM_004477246.3,21.296,108,85,0,18,125,65,172,2.87e-06,34.7,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN69571_c0_g1::TRINITY_DN69571_c0_g1_i1::g.5290::m.5290,XM_004452792.2,32.911,79,50,2,41,119,61,136,2e-09,43.1,Australia_Chelicopia_lorica__Chlorica.fa
Chlorica_TRINITY_DN72938_c0_g1::TRINITY_DN72938_c0_g1_i1::g.13205::m.13205,XM_004452792.2,27.381,168,98,7,4,153,145,306,2.34e-09,43.5,Australia_Chelicopia_lorica__Chlorica.fa
FatWhiteEye_TRINITY_DN13803_c0_g1::TRINITY_DN13803_c0_g1_i1::g.30836::m.30836,XM_004483219.2,29.565,115,79,2,2,115,155,268,1.92e-16,63.2,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN24162_c0_g1::TRINITY_DN24162_c0_g1_i1::g.10911::m.10911,XM_004483219.2,39.506,81,49,0,24,104,282,362,1.07e-18,69.7,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN29115_c0_g1::TRINITY_DN29115_c0_g1_i1::g.4030::m.4030,XM_004452792.2,35.484,62,40,0,25,86,247,308,3.86e-12,50.1,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN30792_c0_g1::TRINITY_DN30792_c0_g1_i1::g.4609::m.4609,XM_004483219.2,31.25,128,85,3,59,184,55,181,1.54e-17,68.6,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN31745_c0_g1::TRINITY_DN31745_c0_g1_i1::g.32636::m.32636,XM_004483219.2,38.272,81,50,0,5,85,282,362,7.88e-18,66.2,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN31745_c0_g1::TRINITY_DN31745_c0_g1_i2::g.32637::m.32637,XM_004483219.2,38.272,81,50,0,5,85,282,362,1.01e-17,65.9,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN32309_c0_g1::TRINITY_DN32309_c0_g1_i1::g.8384::m.8384,XM_004483219.2,29.787,235,155,6,86,312,55,287,1.84e-30,108.0,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN34402_c0_g1::TRINITY_DN34402_c0_g1_i1::g.116::m.116,XM_004483219.2,30.657,137,92,1,5,141,229,362,8.949999999999999e-23,82.4,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN34530_c0_g1::TRINITY_DN34530_c0_g1_i1::g.19647::m.19647,XM_004483219.2,26.174,298,198,9,14,306,76,356,1.85e-17,71.2,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN37500_c0_g1::TRINITY_DN37500_c0_g1_i2::g.27308::m.27308,XM_004477246.3,23.413,252,147,10,128,366,128,346,1.36e-07,41.2,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN38252_c0_g1::TRINITY_DN38252_c0_g1_i1::g.43728::m.43728,XM_058275368.1,29.487,78,50,2,208,281,321,397,7.12e-07,38.5,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN39218_c0_g1::TRINITY_DN39218_c0_g1_i1::g.28692::m.28692,XM_004483219.2,33.333,81,54,0,20,100,282,362,1.9e-15,60.1,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN41653_c0_g1::TRINITY_DN41653_c0_g1_i1::g.42828::m.42828,XM_004483219.2,31.629,313,206,6,21,330,55,362,7.23e-49,160.0,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN41812_c0_g1::TRINITY_DN41812_c0_g1_i1::g.20799::m.20799,XM_004483219.2,31.31,313,207,5,60,369,55,362,3.43e-49,162.0,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN41812_c0_g3::TRINITY_DN41812_c0_g3_i1::g.20806::m.20806,XM_004483219.2,30.204,245,161,7,19,259,55,293,3.4e-31,109.0,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN41812_c0_g3::TRINITY_DN41812_c0_g3_i2::g.20808::m.20808,XM_004483219.2,29.918,244,163,6,59,299,55,293,1.56e-31,111.0,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN53632_c0_g1::TRINITY_DN53632_c0_g1_i1::g.2493::m.2493,XM_004477246.3,27.119,118,70,5,11,122,199,306,5.07e-06,33.1,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN5514_c0_g1::TRINITY_DN5514_c0_g1_i1::g.25120::m.25120,XM_004477246.3,36.667,90,50,3,21,103,159,248,8.94e-17,63.9,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN58515_c0_g1::TRINITY_DN58515_c0_g1_i1::g.22508::m.22508,XM_004483219.2,35.849,53,34,0,37,89,155,207,1.6e-06,34.7,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN78555_c0_g1::TRINITY_DN78555_c0_g1_i1::g.5437::m.5437,XM_004452792.2,23.81,105,69,3,1,96,231,333,7.19e-06,32.3,Australia_CYPRIDINIDAE__FatWhiteEye.fa
FatWhiteEye_TRINITY_DN93713_c0_g1::TRINITY_DN93713_c0_g1_i1::g.7128::m.7128,XM_004477246.3,27.059,85,46,1,1,85,212,280,3.1e-06,34.3,Australia_CYPRIDINIDAE__FatWhiteEye.fa
